ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
2191;1589;1409-12-10;pe__leb_von_als_StB_III_1589;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2192;1589;1409-12-10;pe__ulrich_von_lienfeld_StB_III_1589;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2193;1589;1409-12-10;pe__ortolf_schirlinger_StB_III_1589;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2194;1589;1409-12-10;pe__peter_schon_StB_III_1589;m;gewiesen;;;;;schuster;;;;;;;;;;;;;;;;
2195;1589;1409-12-10;pe__jakob_schon_StB_III_1589;m;gewiesen;dead;minor;;;;;;;;;;;;;;;;;;;
2196;1589;1409-12-10;pe__anna_schonin_StB_III_1589;f;gewiesen;dead;minor;;;;;;;;;;;;;;;;;;;
2197;1590;1409-12-10;pe__konrad_man_StB_III_1590;m;weisend;;;;;;;;;;;;;;;;;;;;;
2198;1590;1409-12-10;pe__katharina_messrerin_StB_III_1590;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2199;1590;1409-12-10;pe__friedrich_von_grub_StB_III_1590;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2200;1590;1409-12-10;pe__andreas_purger_StB_II_1125;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2201;1590;1409-12-10;pe__paul_strigel_StB_III_1590;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2202;1594;1410-01-02;pe__kunigunde_kropfelin_StB_III_1594;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2203;1594;1410-01-02;pe__ulrich_kropfel_StB_III_1594;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2204;1594;1410-01-02;pe__simon_hantschuster_StB_II_1111;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2205;1594;1410-01-02;pe__jakob_teuffentaler_StB_III_1594;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2206;1594;1410-01-02;pe__elisabeth_kolerin_StB_III_1594;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
2207;1594;1410-01-02;pe__friedrich_koler_StB_III_1594;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2208;1600;1410-02-18;pe__elisabeth_geyrin_StB_III_1600;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2209;1600;1410-02-18;pe__ulrich_geyr_StB_III_1600;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2210;1600;1410-02-18;pe__christian_schorndel_StB_III_1600;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2211;1600;1410-02-18;pe__heinrich_mittendrni_StB_III_1600;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2212;1600;1410-02-18;pe__jakob_pandsneyder_StB_III_1600;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2213;1603;1410-03-04;pe__dietrich_starchant_StB_II_641;m;weisend;;;;;;;;;;;;;;;;;;;;;
2214;1603;1410-03-04;pe__jakob_hummel_StB_III_1603;m;witness;;;;erbere lewte;;;;von Newnburg,;;;;;;;;;;;;;
2215;1603;1410-03-04;pe__friedrich_kursner_StB_III_1603;m;witness;;;;erbere lewte;;;;von Newnburg,;;;;;;;;;;;;;
2216;1603;1410-03-04;pe__kunigunde_StB_III_1603;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2217;1603;1410-03-04;pe__kolomann_hofmaister_StB_III_1603;m;gewiesen;dead;;;burger;;;;Klosterneuburg;;;;;;;;;;;;;
2218;1605;1410-03-04;pe__niklas_leykeb_StB_III_1605;m;weisend;;;;;;;;;;;;;;;;;;;;;
2219;1605;1410-03-04;pe__johann_paternoster_StB_III_1605;m;weisend;;;;;;;;;;;;;;;;;;;;;
2220;1605;1410-03-04;pe__johann_pekch_StB_III_1605;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2221;1605;1410-03-04;pe__niklas_leutl_StB_III_1605;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2222;1605;1410-03-04;pe__anna_leykebin_StB_III_1605;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
2223;1605;1410-03-04;pe__elisabeth_leykebin_StB_III_1605;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
2224;1605;1410-03-04;pe__martin_leykeb_StB_III_1605;m;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
2225;1605;1410-03-04;pe__gertrud_weinschenkchin_StB_III_1605;f;gewiesen;;;jungfrau;;;;;;;;;;;;;;;;;;
2226;1605;1410-03-04;pe__wolfhard_wienschenkch_StB_III_1605;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2227;1609;1410-04-03;pe__niklas_scheckhouer_StB_III_1609;m;weisend;;;;burger;;;;Wien;;;;;;;;;;;;;
2228;1609;1410-04-03;pe__johann_hendl_StB_III_1568;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2229;1609;1410-04-03;pe__niklas_udung_StB_III_1609;m;witness;;;;erbere lewte;;;;von Atakrinn ;;;;;;;;;;;;;
2230;1609;1410-04-03;pe__johann_meurlinger_StB_III_1609;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2231;1609;1410-04-03;pe__christian_geyr_StB_III_1609;m;witness;;;;erbere lewte;;;;von Pawngarten;;;;;;;;;;;;;
2232;1609;1410-04-03;pe__friedrich_pot_StB_III_1609;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2233;1609;1410-04-03;pe__hailweg_fleischhackerin_StB_III_1609;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
2234;1609;1410-04-03;pe__niklas_fleischhacker_StB_III_1609;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2235;1617;1410-04-22;pe__martin_hoflinger_StB_III_1617;m;weisend;;;;;;;;;;;;;;;;;;;;;
2236;1617;1410-04-22;pe__paul_wagendrussel_StB_I_479;m;witness;;;;erbere lewte;;;;;;;QGE Uhlirz 1 583_Uhlirz 2 513;;;;;;;;;;
2237;1617;1410-04-22;pe__heinrich_tolfues_StB_III_1617;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2238;1617;1410-04-22;pe__peter_hoflinger_StB_III_1617;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2239;1617;1410-04-22;pe__niklas_hoflinger_StB_III_1617;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2240;1617;1410-04-22;pe__stephan_stuchs_StB_III_1617;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2241;1621;1410-05-21;pe__margarethe_aihenstauderin_StB_III_1621;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2242;1621;1410-05-21;pe__bernhard_aihenstauder_StB_III_1621;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2243;1621;1410-05-21;pe__niklas_klockler_StB_III_1621;m;witness;;;;erbere lewte;;;;zu Oberstorff,;;;;;;;;;;;;;
2244;1621;1410-05-21;pe__georg_willfrat_StB_III_1621;m;witness;;;;erbere lewte;;;;zu Oberstorff,;;;;;;;;;;;;;
2245;1621;1410-05-21;pe__margarethe_enserin_StB_III_1621;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
2246;1621;1410-05-21;pe__lechner_StB_III_1621;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2247;1625;1410-06-22;pe__margarethe_grosin_StB_III_1625;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2248;1625;1410-06-22;pe__johann_gros_StB_III_1625;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2249;1625;1410-06-22;pe__andreas_zwiualer_StB_III_1625;m;witness;;;;erbere lewte;;;;von Ens;;;;;;;;;;;;;
2250;1625;1410-06-22;pe__ulrich_payr_StB_III_1625;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2251;1625;1410-06-22;pe__johann_gutgesell_StB_III_1625;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2252;1627;1410-06-26;pe__stephan_spet_StB_III_1627;m;weisend;;;;;pinter;;;;;;;;;;;;;;;;
2253;1627;1410-06-26;pe__stephan_maler_StB_III_1627;m;weisend;;;;;;;;in der Strauchgazzen;;;;;;;;;;;;;
2254;1627;1410-06-26;pe__heinrich_puchfeler_StB_I_313;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2255;1627;1410-06-26;pe__ulrich_goltslaher_StB_III_1483;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2256;1627;1410-06-26;pe__johann_gurtler_StB_III_1627;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2257;1627;1410-06-26;pe__jakob_maler_StB_III_1627;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2258;1633;1410-07-26;pe__friedrich_pabenberger_StB_III_1633;m;weisend;;;;;;;;;;;;;;;;;;;;;
2259;1633;1410-07-26;pe__dorothea_pabenbergerin_StB_III_1633;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2260;1633;1410-07-26;pe__paul_poleis_StB_III_1633;m;weisend;;;;;;;;;;;;;;;;;;;;;
2261;1633;1410-07-26;pe__barbara_poleisin_StB_III_1633;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2262;1633;1410-07-26;pe__jakob_wachsgiesser_StB_III_1633;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2263;1633;1410-07-26;pe__walter_gurtler_StB_III_1633;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2264;1633;1410-07-26;pe__erhard_koppendorfer_StB_III_1633;m;gewiesen;;;;;;;;;;;inner lanndes nicht ist;;;;;;;;;;
2265;1638;1410-08-26;pe__friedrich_goll_StB_III_1638;m;weisend;;;;;;;;;;;;;;;;;;;;;
2266;1638;1410-08-26;pe__paul_wagendrussel_StB_I_479;m;witness;;;;erbere lewte;;;;;;;QGE Uhlirz 1 583_Uhlirz 2 513;;;;;;;;;;
2267;1638;1410-08-26;pe__johann_kastrawn_StB_III_1638;m;witness;;;;erbere lewte_burger;;;;Wien;;;;;;;;;;;;;
2268;1638;1410-08-26;pe__wolfhard_goll_StB_III_1638;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2269;1641;1410-09-02;pe__katharina_frustukcherin_StB_III_1641;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2270;1641;1410-09-02;pe__friedrich_frustukcher_StB_III_1641;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
2271;1641;1410-09-02;pe__johann_fuchsperger_StB_III_1641;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2272;1641;1410-09-02;pe__ortolf_messchel_StB_III_1641;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2273;1641;1410-09-02;pe__hermann_von_enczestorff_StB_III_1641;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2274;1641;1410-09-02;pe__johann_gaisnack_StB_III_1641;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2275;1641;1410-09-02;pe__anna_StB_III_1641;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
2276;1641;1410-09-02;pe__magdalena_apotekerin_StB_III_1641;f;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2277;1641;1410-09-02;pe__leonhard_apoteker_StB_III_1641;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2278;1673;1410-12-02;pe__peter_swentenwein_StB_III_1673;m;weisend;;;;;;;;;;;;;;;;;;;;;
2279;1673;1410-12-02;pe__johann_heringer_StB_III_1673;m;weisend;;;;;;;;;;;;;;;;;;;;;
2280;1673;1410-12-02;pe__thomas_pehem_StB_III_1673;m;witness;;;;erbere lewte;;;;von Grinczing;;;;;;;;;;;;;
2281;1673;1410-12-02;pe__bernhard_purhendl_StB_III_1673;m;witness;;;;erbere lewte;;;;von Grinczing;;;;;;;;;;;;;
2282;1673;1410-12-02;pe__johann_gaisnack_StB_III_1641;m;witness;;;;erbere lewte;;;;von Grinczing;;;;;;;;;;;;;
2283;1673;1410-12-02;pe__philipp_smid_StB_III_1673;m;witness;;;;erbere lewte;;;;von Grinczing;;;;;;;;;;;;;
2284;1673;1410-12-02;pe__thomas_schondel_StB_III_1673;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2285;1673;1410-12-02;pe__margarethe_wassermanin_StB_III_1673;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2286;1673;1410-12-02;pe__heinrich_wasserman_StB_III_1673;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2287;1673;1410-12-02;pe__brunhilde_eselin_StB_III_1673;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2288;1673;1410-12-02;pe__esel_StB_III_1673;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2289;1673;1410-12-02;pe__oswald_schondel_StB_III_1673;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2290;1673;1410-12-02;pe__peter_wasserman_StB_III_1673;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2291;1673;1410-12-02;pe__barbara_wassermanin_StB_III_1673;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2292;1673;1410-12-02;pe__dorothea_swentenweinin_StB_III_1673;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2293;1673;1410-12-02;pe__anna_legensweinin_StB_III_1673;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2294;1673;1410-12-02;pe__legenswein_StB_III_1673;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2295;1674;1410-12-02;pe__elisabeth_lerrerin_StB_III_1674;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2296;1674;1410-12-02;pe__peter_lerrer_StB_III_1674;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2297;1674;1410-12-02;pe__anna_wagenin_StB_III_1674;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2298;1674;1410-12-02;pe__thomas_wagen_StB_III_1674;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2299;1674;1410-12-02;pe__christian_vischer_StB_II_1107;m;witness;;;;erbere lewte;;;;in der Landstrazz ;;;;;;;;;;;;;
2300;1674;1410-12-02;pe__seidel_pauker_StB_III_1674;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2301;1674;1410-12-02;pe__heinrich_pawr_StB_III_1674;m;gewiesen;dead;;;;;;;in der Landsstrazz;;;;;;;;;;;;;
2302;1675;1410-12-02;pe__gilg_herwart_StB_III_1675;m;weisend;;;;;;;;;;;;;;;;;;;;;
2303;1675;1410-12-02;pe__dietrich_herwart_StB_III_1675;m;weisend;;;;;;;;;;;;;;;;;;;;;
2304;1675;1410-12-02;pe__thomas_graser_StB_III_1675;m;witness;;;;erbere lewte;;;;zu Alttennaw;;;;;;;;;;;;;
2305;1675;1410-12-02;pe__georg_klayn_StB_III_1675;m;witness;;;;erbere lewte;;;;von Hertsteten;;;;;;;;;;;;;
2306;1675;1410-12-02;pe__johann_unger_StB_III_1675;m;gewiesen;dead;;;;;;;in dem Wird;;;;;;;;;;;;;
2307;1688;1410-12-11;pe__johann_slegel_StB_III_1688;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2308;1688;1410-12-11;pe__johann_prunnhofer_StB_III_1688;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2309;1688;1410-12-11;pe__johann_schuster_StB_III_1688;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2310;1688;1410-12-11;pe__friedrich_schuster_StB_III_1688;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2311;1688;1410-12-11;pe__thomas_schuster_StB_III_1688;m;gewiesen;dead;;;;;;;aus der Walichstrazz;;;;;;;;;;;;;
2312;1688;1410-12-11;pe__margarethe_schusterin_StB_III_1688;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2313;1688;1410-12-11;pe__anna_schusterin_StB_III_1688;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2314;1688;1410-12-11;pe__magnus_schuster_StB_III_1688;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2315;1688;1410-12-11;pe__katharina_schusterin_StB_III_1688;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2316;1689;1410-12-11;pe__johann_haug_StB_III_1689;m;weisend;;;;;;;;von Gerolstorff;;;;;;;;;;;;;
2317;1689;1410-12-11;pe__niklas_en_StB_III_1689;m;weisend;;;;;;;;von Gerolstorff;;;;;;;;;;;;;
2318;1689;1410-12-11;pe__johann_helmher_StB_III_1689;m;weisend;;;;;;;;von Gerolstorff;;;;;;;;;;;;;
2319;1689;1410-12-11;pe__martin_weyss_StB_III_1689;m;weisend;;;;;;;;von Gerolstorff;;;;;;;;;;;;;
2320;1689;1410-12-11;pe__philipp_smucz_StB_III_1689;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2321;1689;1410-12-11;pe__oswald_schondel_StB_III_1673;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2322;1689;1410-12-11;pe__johann_preyder_StB_III_1689;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2323;1689;1410-12-11;pe__peter_heberler_StB_III_1689;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2324;1689;1410-12-11;pe__niklas_elpeltawer_StB_III_1689;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2325;1689;1410-12-11;pe__katharina_schifrrin_StB_III_1689;f;gewiesen;;;;;;;;von Grinczing;;;;;;;;;;;;;
2326;1689;1410-12-11;pe__margarethe_ungerin_StB_III_1689;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2327;1689;1410-12-11;pe__katharina_schondlin_StB_III_1689;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2328;1696;1410-12-11;pe__ulrich_von_nycolspurg_StB_III_1453;m;weisend;;;;;;;;;;;;;;;;;;;;;
2329;1696;1410-12-11;pe__meinhard_pheilsniczer_StB_I_454;m;witness;;;;erbere lewte;;;rat;Wien;;;;;;;;;;;;;
2330;1696;1410-12-11;pe__johann_vom_kamp_StB_III_1556;m;witness;;;;erbere lewte;;;rat;Wien;;;;;;;;;;;;;
2331;1696;1410-12-11;pe__niklas_pogner_ii_StB_III_1696;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2332;1696;1410-12-11;pe__johann_pogner_StB_III_1696;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2333;1696;1410-12-11;pe__niklas_pogner_i_StB_III_1696;m;gewiesen;;;;;;;;von Nicolspurg;;;;;;;;;;;;;
2334;1699;1410-12-16;pe__andreas_pinter_StB_III_1699;m;weisend;;;;;;;;von Tyrna;;;;;;;;;;;;;
2335;1699;1410-12-16;pe__heinrich_futschopf_StB_III_1699;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2336;1699;1410-12-16;pe__konrad_wolgezogen_StB_III_1699;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2337;1699;1410-12-16;pe__johann_pinter_StB_III_1699;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2338;1699;1410-12-16;pe__stephan_pinter_StB_III_1699;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2339;1699;1410-12-16;pe__helena_gartnerin_StB_III_1699;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2340;1699;1410-12-16;pe__georg_gartner_StB_III_1699;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2341;1703;1410-12-16;pe__gertrud_naglerin_StB_III_1703;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2342;1703;1410-12-16;pe__konrad_nagler_StB_III_1703;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
2343;1703;1410-12-16;pe__leb_huter_StB_III_1703;m;witness;;;;erbere lewte;;;;an dem Hof;;;;;;;;;;;;;
2344;1703;1410-12-16;pe__ulrich_huter_StB_III_1703;m;witness;;;;erbere lewte;;;;in der Schenckenstrazz;;;;;;;;;;;;;
2345;1703;1410-12-16;pe__christine_schusterin_StB_III_1703;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
2346;1703;1410-12-16;pe__thomas_schuster_StB_III_1688;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2347;1711;1410-12-20;pe__jekel_lancz_StB_III_1711;m;weisend;;;;;;;;;;;;;;;;;;;;;
2348;1711;1410-12-20;pe__peter_wachzzser_StB_III_1711;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2349;1711;1410-12-20;pe__konrad_stettner_StB_III_1711;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2350;1711;1410-12-20;pe__thomas_schondel_StB_III_1673;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2351;1711;1410-12-20;pe__elisabeth_schondelin_StB_III_1711;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
2352;1711;1410-12-20;pe__leopold_lancz_StB_III_1711;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
2353;1718;1410-12-23;pe__martin_holeprunner_StB_III_1718;m;weisend;;;;;;;;von Symonig;;;;;;;;;;;;;
2354;1718;1410-12-23;pe__agnes_holeprunnerin_StB_III_1718;f;weisend/other;;;;;;;;;;;;;;;;;;;;;
2355;1718;1410-12-23;pe__martin_topanicz_StB_III_1718;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2356;1718;1410-12-23;pe__johann_waldeker_StB_III_1718;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2357;1718;1410-12-23;pe__anna_pinter_StB_III_1718;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
2358;1718;1410-12-23;pe__georg_pinter_StB_III_1718;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2359;1720;1411-01-13;pe__ulrich_werder_StB_III_1720;m;weisend;;;;;;;;;;;;;;;;;;;;;
2360;1720;1411-01-13;pe__martin_wachsgiesser_StB_II_1084;m;witness;;;;erbere lewte;;;;;;;QGW Uhlirz 1 623;;;;;;;;;;
2361;1720;1411-01-13;pe__johann_strang_StB_III_1720;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2362;1720;1411-01-13;pe__haubner_tocher_StB_III_1720;f;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2363;1720;1411-01-13;pe__haubner_StB_III_1720;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2364;1720;1411-01-13;pe__mutter_haubner_tochter_StB_III_1720;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2365;1720;1411-01-13;pe__johann_von_yembnicz_StB_III_1720;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
2366;1720;1411-01-13;pe__hawsfraw_johann_von_yembnicz_StB_III_1720;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2367;1727;1411-01-22;pe__agnes_pfaffenfeyntinn_StB_III_1727;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2368;1727;1411-01-22;pe__johann_luckner_StB_III_1727;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2369;1727;1411-01-22;pe__georg_rumpel_StB_III_1727;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2370;1727;1411-01-22;pe__thomas_engelmar_StB_III_1727;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2371;1729;1411-01-22;pe__heinrich_hintenach_StB_III_1729;m;weisend;;;;;;;;;;;;;;;;;;;;;
2372;1729;1411-01-22;pe__christian_zerrer_StB_III_1729;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2373;1729;1411-01-22;pe__johann_kraganer_StB_III_1729;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2374;1729;1411-01-22;pe__heinrich_pawr_StB_III_1729;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2375;1735;1411-01-29;pe__georg_kegel_StB_III_1735;m;weisend;;;;;;;;;;;;;;;;;;;;;
2376;1735;1411-01-29;pe__paul_wagendrussel_StB_I_479;m;witness;;;;erbere lewte;;;;;;;QGE Uhlirz 1 583_Uhlirz 2 513;;;;;;;;;;
2377;1735;1411-01-29;pe__heinrich_tolfues_StB_III_1617;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2378;1735;1411-01-29;pe__paul_pawr_StB_III_1735;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2379;1735;1411-01-29;pe__niklas_schentenmarkcht_StB_III_1735;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2380;1741;1411-01-31;pe__anna_staynerin_StB_III_1741;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
2381;1741;1411-01-31;pe__georg_stayner_StB_III_1741;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
2382;1741;1411-01-31;pe__michael_judenmayr_StB_III_1741;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2383;1741;1411-01-31;pe__oswald_kamrer_StB_III_1741;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2384;1741;1411-01-31;pe__christian_schorndel_StB_III_1600;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2385;1742;1411-01-31;pe__peter_messrer_StB_II_861;m;witness;;;;;;;;;;;;;;;;;;;;;
2386;1742;1411-01-31;pe__johann_tewfel_StB_I_488;m;witness;;;;;;;;auf der Widem;;;;;;;;;;;;;
2387;1742;1411-01-31;pe__oswald_weigman_StB_III_1742;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2388;1742;1411-01-31;pe__nes_weigman_StB_III_1742;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2389;1742;1411-01-31;pe__niklas_weigman_StB_III_1742;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2390;1742;1411-01-31;pe__jakob_schordl_StB_III_1742;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2391;1742;1411-01-31;pe__kind_jakob_schordl_StB_III_1742;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2392;1744;1411-01-31;pe__konrad_goldloffel_StB_III_1744;m;weisend;;;;;;;;;;;;;;;;;;;;;
2393;1744;1411-01-31;pe__niklas_goldloffel_StB_III_1744;m;weisend;;;;;;;;;;;;;;;;;;;;;
2394;1744;1411-01-31;pe__konrad_slosser_StB_III_1744;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
2395;1744;1411-01-31;pe__johann_von_krems_StB_III_1556;m;witness;;;;erbere lewte;messrer;;;;;;;;;;;;;;;;
2396;1744;1411-01-31;pe__margarethe_kranstorfferin_StB_III_1744;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
2397;1746;1411-02-12;pe__niklas_leidenfrost_StB_III_1746;m;witness;;;;;;;;;;;;;;;;;;;;;
2398;1746;1411-02-12;pe__niklas_kirchstetter_StB_III_1746;m;witness;;;;;;;;;;;;;;;;;;;;;
2399;1746;1411-02-12;pe__johann_polreisch_StB_III_1746;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2400;1746;1411-02-12;pe__friedrich_chestler_StB_III_1746;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2401;1746;1411-02-12;pe__niklas_chestler_StB_III_1746;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
2402;1746;1411-02-12;pe__elisabeth_herczogin_StB_III_1746;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
2403;1746;1411-02-12;pe__johann_herczog_StB_III_1746;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
2404;1746;1411-02-12;pe__katharina_reysner_StB_III_1746;f;gewiesen/other;;;;fraw;;;;;;;;;;;;;;;;;
