ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
65;59;1396-06-06;pe__georg_von_ottental_StB_I_59;m;gewiesen/other;dead;;;amtmann;;;amtmann_amtmann-ottental;;;;;;;;;;;;;;
66;63;1396-06-27;pe__gold_an_dem_ort_StB_I_63;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
67;63;1396-06-27;pe__ulrich_an_dem_ort_StB_I_63;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
68;63;1396-06-27;pe__konrad_gerstler_StB_I_63;m;witness;;;;erbere lewte;floczer;;;;;;;;;;;;;;;;
69;63;1396-06-27;pe__ulrich_von_chaschaw_StB_I_63;m;witness;;;;erbere lewte;chursner;;;;;;;;;;;;;;;;
70;63;1396-06-27;pe__johann_StB_I_63;m;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
71;63;1396-06-27;pe__gundolt_StB_I_63;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
72;72;1396-08-08;pe__michael_affer_StB_I_72;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
73;72;1396-08-08;pe__dietrich_schuster_StB_I_72;m;witness;;;;erbere lewte;schuster;;;;;;;;;;;;;;;;
74;72;1396-08-08;pe__christian_grewter_StB_I_72;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
75;72;1396-08-08;pe__klara_amaistalerin_StB_I_72;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
76;72;1396-08-08;pe__andreas_amaistaler_StB_I_72;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
77;72;1396-08-08;pe__katharina_vorsterin_StB_I_72;f;gewiesen;;;jungfrau;;;;;;;;;;;;;;;;;;
78;72;1396-08-08;pe__wolfhard_vorster_StB_I_72;m;gewiesen/other;;;;;vorster;;;;;;;;;;;;;;;;
79;73;1396-08-17;pe__anna_ganyczerin_StB_I_73;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
80;73;1396-08-17;pe__konrad_ganyczer_StB_I_73;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
81;73;1396-08-17;pe__niklas_radsmyd_StB_I_73;m;witness;;;;erbere lewte;radschmied;;rat;Wien;;;;;;;;;;;;;
82;73;1396-08-17;pe__otto_radsmyd_StB_I_73;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
83;73;1396-08-17;pe__bernhard_wechslein_von_haymfeld_StB_I_73;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
84;73;1396-08-17;pe__margarethe_apothekerin_StB_I_73;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
85;73;1396-08-17;pe__thomas_apotheker_StB_I_73;m;gewiesen/other;dead;;;;apotheker;;;;;;;;;;;;;;;;
86;75;1396-08-29;pe__kunigunde_zymmermanin_StB_I_75;f;weisend;;;;fraw;zimmermann;;;;;;;;;;;;;;;;
87;75;1396-08-29;pe__ulrich_zymmerman_StB_I_75;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
88;75;1396-08-29;pe__konrad_chnarre_von_ottakring_StB_I_75;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
89;75;1396-08-29;pe__hamman_zymmerman_von_steyr_StB_I_75;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
90;75;1396-08-29;pe__heinrich_peugenslag_StB_I_75;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
91;77;1396-08-31;pe__otto_maydwiser_von_lyncz_StB_I_77;m;weisend;;;;;;;;;;;;;;;;;;;;;
92;77;1396-08-31;pe__stephan_frawndorffer_StB_I_77;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
93;77;1396-08-31;pe__niklas_kamrer_StB_I_77;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
94;77;1396-08-31;pe__barbara_maydwiserin_StB_I_77;f;gewiesen;;;jungfrau;;;;;;;;;;;;;;;;;;
95;77;1396-08-31;pe__jakob_chetner_StB_I_7;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
96;77;1396-08-31;pe__konrad_chetner_StB_I_7;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
97;78;1396-08-31;pe__niklas_kamrer_StB_I_77;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
98;78;1396-08-31;pe__paul_holczkewffel_StB_I_78;m;witness;;;;erbere lewte_her;;;bürgermeister;Wien;;;;;;;;;;;;;
99;78;1396-08-31;pe__stephan_leyttner_StB_I_54;m;witness;;;;erbere lewte_her;;;rat;Wien;;;;;;;;;;;;;
100;78;1396-08-31;pe__katharina_chettnerin_StB_I_78;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
101;78;1396-08-31;pe__jakob_chetner_StB_I_7;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
102;79;1396-08-31;pe__jakob_von_voyczperkch_StB_I_79;m;weisend;;;;;;;;;;;;;;;;;;;;;
103;79;1396-08-31;pe__stephan_frauendorfer_StB_I_7;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
104;79;1396-08-31;pe__niklas_chamrer_StB_I_77;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
105;79;1396-08-31;pe__kind_jakob_von_voyczperkch_StB_I_79;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
106;79;1396-08-31;pe__jakob_chetner_StB_I_7;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
107;79;1396-08-31;pe__konrad_chetner_StB_I_7;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
108;80;1396-08-31;pe__johann_kamrer_StB_I_80;m;weisend;;;;;;;;;;;;;;;;;;;;;
109;80;1396-08-31;pe__heinrich_kamrer_StB_I_80;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
110;80;1396-08-31;pe__stephan_frauendorfer_StB_I_7;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
111;80;1396-08-31;pe__niklas_chamrer_StB_I_77;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
112;80;1396-08-31;pe__katharina_chettnerin_StB_I_78;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
113;80;1396-08-31;pe__jakob_chetner_StB_I_7;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
114;94;1396-12-02;pe__anna_pechssingerin_StB_I_94;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
115;94;1396-12-02;pe__niklas_pechssinger_StB_I_94;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
116;94;1396-12-02;pe__johann_edelmann_von_honestorf_StB_I_94;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
117;94;1396-12-02;pe__otto_von_honestorf_StB_I_94;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
118;94;1396-12-02;pe__huetter_von_honestorf_StB_I_94;m;witness/other;;;;;;;;;;;;;;;;;;;;;
119;94;1396-12-02;pe__agnes_champphshiltinn_StB_I_94;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
120;99;1397-01-13;pe__katharina_von_steyr_StB_I_99;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
121;99;1397-01-13;pe__heinrich_von_steyr_StB_I_99;m;weisend/other;;;;;schuster;;;;;;;;;;;;;;;;
122;99;1397-01-13;pe__stephan_von_suefring_StB_I_99;m;witness;;;;;;;richter;steyr? Sufring?;;;;;;;;;;;;;
123;99;1397-01-13;pe__niklas_tuetalso_von_wering_StB_I_99;m;witness;;;;;;;;;;;;;;;;;;;;;
124;99;1397-01-13;pe__konrad_pekch_StB_I_99;m;gewiesen;dead;;;;bäcker;;;;;;;;;;;;;;;;
125;99;1397-01-13;pe__anna_lantschreiberin_StB_I_99;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
126;99;1397-01-13;pe__stephan_lantschreiber_StB_I_99;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
127;118;1397-02-17;pe__martin_swebel_StB_I_118;m;weisend;;;;;;;;;;;;;;;;;;;;;
128;118;1397-02-17;pe__katharina_rebleinin_StB_I_118;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
