ID,nr,date,persTag,sex,fn_role
158,137,1397-04-05,pe__niklas_hosen_StB_I_136,m,gewiesen/other
159,137,1397-04-05,pe__konrad_grewsser_StB_I_137,m,gewiesen
160,138,1397-04-05,pe__niklas_schaffer_StB_I_138,,weisend
161,138,1397-04-05,pe__berthold_gevater_StB_I_136,m,witness
162,138,1397-04-05,pe__ulrich_rude_StB_I_136,m,witness
163,138,1397-04-05,pe__katharina_schafferin_StB_I_138,f,gewiesen
164,138,1397-04-05,pe__niklas_des_hosen_sun_StB_I_136,m,gewiesen
165,138,1397-04-05,pe__niklas_hosen_StB_I_136,m,gewiesen/other
166,141,1397-04-12,pe__niklas_berytter_StB_I_141,m,weisend
167,141,1397-04-12,pe__konrad_schuster_von_symanyg_StB_I_141,m,witness
168,141,1397-04-12,pe__leopold_mannsberger_StB_I_141,m,witness
169,141,1397-04-12,pe__johann_prewer_von_symanyng_StB_I_141,m,witness
170,141,1397-04-12,pe__bertha_vischer_StB_I_141,f,gewiesen
171,141,1397-04-12,pe__meinhard_vischer_StB_I_134,m,gewiesen/other
172,143,1397-04-12,pe__jakob_obrecht_StB_I_143,m,weisend
173,143,1397-04-12,pe__johann_chastrawn_StB_I_143,m,witness
174,143,1397-04-12,pe__georg_schenkenmarkt_StB_I_143,m,witness
175,143,1397-04-12,pe__margarethe_von_den_schotten_StB_I_143,f,gewiesen
176,143,1397-04-12,pe__ulrich_von_den_schotten_StB_I_143,m,gewiesen/other
177,143,1397-04-12,pe__ulrich_salczmacher_StB_I_143,m,gewiesen
178,143,1397-04-12,pe__bernhard_salzmacher_StB_I_143,m,gewiesen/other
179,144,1397-04-14,pe__andreas_amaystaler_StB_I_144,m,weisend
180,144,1397-04-14,pe__christian_grewt_StB_I_144,m,witness
181,144,1397-04-14,pe__peter_vorster_StB_I_144,m,witness
182,144,1397-04-14,pe__clara_amaystalerin_StB_I_144,f,gewiesen
183,144,1397-04-14,pe__friedrich_StB_I_144,m,gewiesen
184,144,1397-04-14,pe__agnes_StB_I_144,f,gewiesen/other
185,149,1397-05-17,pe__thomas_tulmetsch_StB_I_149,m,weisend
186,149,1397-05-17,pe__friedrich_frischmann_StB_I_149,m,witness
187,149,1397-05-17,pe__heinrich_schwarcz_StB_I_149,m,witness
188,149,1397-05-17,pe__kunigunde_salczerin_StB_I_149,f,gewiesen
189,149,1397-05-17,pe__michael_salczer_StB_I_149,m,gewiesen/other
190,157,1397-06-16,pe__elisabeth_ledererin_StB_I_157,f,weisend
191,157,1397-06-16,pe__georg_lederer_StB_I_157,m,weisend/other
192,157,1397-06-16,pe__peter_suezzprot_StB_I_157,m,witness
193,157,1397-06-16,pe__niklas_nappelt_StB_I_157,m,witness
194,157,1397-06-16,pe__johann_lederer_StB_I_157,m,gewiesen
195,158,1397-06-19,pe__kunigunde_oberholczerin_StB_I_158,f,weisend
196,158,1397-06-19,pe__heinrich_oberholczer_StB_I_158,m,weisend/other
197,158,1397-06-19,pe__ulrich_weczel_StB_I_158,m,witness
198,158,1397-06-19,pe__peter_eisvogel_von_ort_StB_I_158,m,witness
199,158,1397-06-19,pe__kunigunde_robschrawt_StB_I_158,f,gewiesen
200,158,1397-06-19,pe__matthias_robschwart_von_erdpurg_StB_I_158,m,gewiesen/other
201,179,1397-10-04,pe__engelprecht_prechtlein_platner_StB_I_179,m,weisend
202,179,1397-10-04,pe__christian_platner_StB_I_179,m,witness
203,179,1397-10-04,pe__haug_platner_StB_I_179,m,witness
204,179,1397-10-04,pe__christine_wagmacherin_StB_I_179,f,gewiesen
205,179,1397-10-04,pe__michael_wagmacher_StB_I_179,m,gewiesen/other
206,179,1397-10-04,pe__ulrich_von_ottakring_StB_I_179,m,gewiesen
207,180,1397-10-04,pe__niklas_schikch_StB_I_180,m,weisend
208,180,1397-10-04,pe__heinrich_pader_in_der_wollzeile_StB_I_180,m,witness
209,180,1397-10-04,pe__niklas_von_odenburg_StB_I_180,m,witness
210,180,1397-10-04,pe__gerung_pader_StB_I_180,m,gewiesen
211,198,1397-11-03,pe__stephan_seuberleich_StB_I_198,m,weisend
212,198,1397-11-03,pe__stephan_chrophlein_StB_I_198,m,witness
213,198,1397-11-03,pe__johann_rokke_StB_I_198,m,witness
214,198,1397-11-03,pe__laurenz_pawr_von_ottakring_StB_I_198,m,gewiesen
215,199,1397-11-06,pe__elisabeth_piberin_StB_I_199,f,weisend
216,199,1397-11-06,pe__johann_piber_StB_I_199,m,weisend/other
217,199,1397-11-06,pe__gilg_druml_StB_I_199,m,witness
218,199,1397-11-06,pe__leopold_maurer_StB_I_199,m,witness
219,199,1397-11-06,pe__jakob_cheufflein_StB_I_199,m,witness
220,199,1397-11-06,pe__anna_gusterin_StB_I_199,f,gewiesen
221,199,1397-11-06,pe__niklas_guster_StB_I_199,m,gewiesen/other
222,199,1397-11-06,pe__margarethe_phisterin_StB_I_199,f,gewiesen
223,199,1397-11-06,pe__jakob_phister_StB_I_199,m,gewiesen/other
224,205,1397-11-20,pe__peter_stainprecher_von_alzz_StB_I_205,m,weisend
225,205,1397-11-20,pe__meinhard_esseich_StB_I_205,m,witness
226,205,1397-11-20,pe__peter_vom_weinhaws_StB_I_205,m,witness
227,205,1397-11-20,pe__agnes_cholbin_StB_I_205,f,gewiesen
228,205,1397-11-20,pe__rudolf_cholb_StB_I_205,m,gewiesen/other
229,205,1397-11-20,pe__margarethe_magerpachin_StB_I_205,f,gewiesen
230,205,1397-11-20,pe__simon_magerpach_StB_I_205,m,gewiesen/other
231,206,1397-11-20,pe__christian_von_st_pölten_StB_I_206,m,weisend
232,206,1397-11-20,pe__johann_lynczer_StB_I_206,m,witness
233,206,1397-11-20,pe__ulrich_plechler_StB_I_206,m,witness
234,206,1397-11-20,pe__heinrich_schreyner_von_st_pölten_StB_I_206,m,gewiesen
235,206,1397-11-20,pe__dietrich_von_markchdurncz_StB_I_206,m,gewiesen
236,240,1398-03-07,pe__margarethe_swerczleinin_StB_I_240,f,weisend
237,240,1398-03-07,pe__ortolf_swerczlein_StB_I_240,m,weisend/other
238,240,1398-03-07,pe__simon_pawr_StB_I_240,m,witness
239,240,1398-03-07,pe__mayn_von_weczleinstorff_StB_I_240,m,witness
240,240,1398-03-07,pe__katharina_von_weczldorf_StB_I_240,f,gewiesen
241,240,1398-03-07,pe__kunigunde_vischerin_StB_I_240,f,gewiesen
242,240,1398-03-07,pe__paul_vischer_StB_I_240,m,gewiesen/other
243,240,1398-03-07,pe__thomas_lyndner_StB_I_240,m,gewiesen/other
244,241,1398-03-07,pe__johann_pewrl_StB_I_241,m,weisend
245,241,1398-03-07,pe__ulrich_meychsner_StB_I_241,m,witness
246,241,1398-03-07,pe__jakob_wechinger_StB_I_241,m,witness
247,241,1398-03-07,pe__endel_johann_pewrl_StB_I_241,f,gewiesen
248,241,1398-03-07,pe__kunigunde_vischerin_StB_I_240,f,gewiesen/other
249,241,1398-03-07,pe__paul_vischer_StB_I_240,m,gewiesen/other
250,241,1398-03-07,pe__mutter_kunigunde_vischerin_StB_I_241,f,gewiesen
251,243,1398-03-14,pe__dorothea_hawslodin_StB_I_243,f,weisend
252,243,1398-03-14,pe__johann_hawslod_StB_I_243,m,weisend/other
253,243,1398-03-14,pe__ulrich_auweiner_StB_I_243,m,witness
254,243,1398-03-14,pe__heinrich_schepach_StB_I_243,m,witness
255,243,1398-03-14,pe__oswald_chuntter_StB_I_243,m,gewiesen
256,257,1398-04-23,pe__christian_astter_StB_I_257,m,weisend
257,257,1398-04-23,pe__peter_edelporcz_StB_I_257,m,witness
258,257,1398-04-23,pe__johann_pawr_StB_I_257,m,witness
259,257,1398-04-23,pe__margarethe_stuchssin_StB_I_257,f,gewiesen
260,257,1398-04-23,pe__niklas_stuchss_StB_I_257,m,gewiesen/other
261,257,1398-04-23,pe__en_christian_astter_StB_I_257,m,gewiesen
262,260,1398-05-02,pe__otto_lewbser_StB_I_260,m,weisend
263,260,1398-05-02,pe__christian_schonn_StB_I_260,m,witness
264,260,1398-05-02,pe__simon_popp_StB_I_260,m,witness
265,260,1398-05-02,pe__johann_mader_von_st_mertenperg_StB_I_260,m,gewiesen
266,267,1398-05-30,pe__katharina_lechnerin_StB_I_267,f,weisend
267,267,1398-05-30,pe__stephan_lechner_StB_I_267,m,weisend/other
268,267,1398-05-30,pe__otto_hakcher_StB_I_267,m,witness
269,267,1398-05-30,pe__konrad_pabenberger_StB_I_267,m,witness
270,267,1398-05-30,pe__johann_choch_StB_I_267,m,gewiesen
271,280,1398-08-01,pe__ulrich_wienner_StB_I_280,m,weisend
272,280,1398-08-01,pe__ruediger_tuchscherer_StB_I_280,m,witness
273,280,1398-08-01,pe__meinhard_trager_StB_I_280,m,witness
274,280,1398-08-01,pe__jakob_uberleger_StB_I_280,m,gewiesen
275,282,1398-08-09,pe__dorothea_posschin_StB_I_282,f,weisend
276,282,1398-08-09,pe__albrecht_possch_StB_I_282,m,weisend/other
277,282,1398-08-09,pe__konrad_schonprot_ii_StB_I_282,m,witness
278,282,1398-08-09,pe__johann_horner_StB_I_282,m,witness
279,282,1398-08-09,pe__margarethe_ayhenstawderin_StB_I_282,f,gewiesen
280,282,1398-08-09,pe__niklas_ayhenstawder_StB_I_282,m,gewiesen/other
281,284,1398-08-13,pe__margarethe_rollin_StB_I_284,f,weisend
282,284,1398-08-13,pe__martin_roll_StB_I_284,m,weisend/other
283,284,1398-08-13,pe__markhard_chugler_StB_I_284,m,witness
284,284,1398-08-13,pe__siegfried_sakch_StB_I_284,m,witness
285,284,1398-08-13,pe__niklas_ayhenstawder_StB_I_282,m,gewiesen
286,284,1398-08-13,pe__elisabeth_ayhenstawderin_StB_I_284,f,gewiesen/other
287,284,1398-08-13,pe__heinrich_ayhenstawder_StB_I_284,m,gewiesen/other
288,289,1398-08-29,pe__barbara_pinterin_StB_I_289,f,weisend
289,289,1398-08-29,pe__martin_pinter_StB_I_289,m,weisend/other
290,289,1398-08-29,pe__johann_zewinger_StB_I_289,m,witness
291,289,1398-08-29,pe__niklas_von_lewbs_StB_I_289,m,witness
292,289,1398-08-29,pe__niklas_zewinger_StB_I_289,m,gewiesen
293,291,1398-08-30,pe__anna_zingiezzerin_StB_I_291,f,weisend
294,291,1398-08-30,pe__niklas_zingiezzer_StB_I_291,m,weisend/other
295,291,1398-08-30,pe__niklas_wenntenhaw_StB_I_291,m,witness
296,291,1398-08-30,pe__niklas_straiffing_StB_I_291,m,witness
297,291,1398-08-30,pe__elisabeth_dienerin_StB_I_291,f,gewiesen
298,294,1398-09-12,pe__friedrich_ratgeb_StB_I_294,m,weisend
299,294,1398-09-12,pe__agnes_hetlerin_StB_I_294,f,weisend
300,294,1398-09-12,pe__pilgrim_hetler_StB_I_294,m,weisend/other
301,294,1398-09-12,pe__michael_herwart_auf_der_wieden_StB_I_294,m,witness
302,294,1398-09-12,pe__philipp_furrer_auf_der_wieden_StB_I_294,m,witness
303,294,1398-09-12,pe__johann_ratgeb_StB_I_294,m,gewiesen
304,308,1398-10-31,pe__katharina_hegeleinin_StB_I_308,f,weisend
305,308,1398-10-31,pe__heinrich_hegelein_StB_I_308,m,weisend/other
306,308,1398-10-31,pe__thomas_gutschann_StB_I_308,m,witness
307,308,1398-10-31,pe__friedrich_rosentingl_StB_I_308,m,witness
308,308,1398-10-31,pe__heinrich_griezzlein_StB_I_308,m,witness
309,308,1398-10-31,pe__heinrich_romer_StB_I_308,m,witness
310,308,1398-10-31,pe__peter_satler_von_salzburg_StB_I_308,m,gewiesen
311,310,1398-11-09,pe__kunigunde_zimmermannin_StB_I_310,f,weisend
312,310,1398-11-09,pe__konrad_zimmermann_von_inzersdorf_StB_I_310,m,weisend/other
313,310,1398-11-09,pe__johann_murr_StB_I_310,m,witness
314,310,1398-11-09,pe__jakob_murr_StB_I_310,m,witness
315,310,1398-11-09,pe__gisela_murrin_StB_I_310,f,gewiesen
316,310,1398-11-09,pe__johann_murr_i_StB_I_310,m,gewiesen/other
